Ticker,Company,Country,Exchange,MarketCap,CurrentDate,CurrentPrice,Date_1M,Price_1M,Return_1M,Date_3M,Price_3M,Return_3M,Date_6M,Price_6M,Return_6M,Date_1Y,Price_1Y,Return_1Y,Date_2Y,Price_2Y,Return_2Y,Date_5Y,Price_5Y,Return_5Y,Currency,CurrentPriceUSD,Price_1M_USD,Price_3M_USD,Price_6M_USD,Price_1Y_USD,Price_2Y_USD,Price_5Y_USD,Return_1M_USD,Return_3M_USD,Return_6M_USD,Return_1Y_USD,Return_2Y_USD,Return_5Y_USD
032830.KS,SAMSUNG LIFE,US,KSC,51178813521920.0,2026-08-05,294000.0,2026-07-03,383000.0,-23.23759791122716,2026-05-04,265000.0,10.943396226415093,2026-02-05,191700.0,53.36463223787167,2025-08-05,119085.046875,146.88238172220142,2024-08-05,77621.7890625,278.7596286440592,2021-08-05,62231.0390625,372.4330566049674,KRW,205.82037430722266,248.3577952370979,180.06020225584507,131.29147583968006,86.06960867509497,57.19385494950666,54.39490641962948,-17.127475660373914,14.30642181261983,56.765984227757315,139.13246205658498,259.8644897934057,278.38170493285065
034020.KS,Doosan Enerbility,US,KSC,48638004822016.0,2026-08-05,77000.0,2026-07-03,86200.0,-10.67285382830626,2026-05-04,127200.0,-39.46540880503144,2026-02-05,90600.0,-15.011037527593816,2025-08-05,64800.0,18.827160493827154,2024-08-05,15860.0,385.49810844892806,2021-08-05,20778.408203125,270.57699149648755,KRW,53.905336128082126,55.89671527268365,86.42889708280563,62.05011847196147,46.834684861823916,11.6860813240055,18.161990974033415,-3.5626049489435707,-37.630424606209424,-13.126135041240438,15.097040339053658,361.2781191018242,196.80301132817286
012330.KS,Mobis,US,KSC,44367339323392.0,2026-08-05,503000.0,2026-07-03,494000.0,1.8218623481781384,2026-05-04,431500.0,16.570104287369645,2026-02-05,428459.3125,17.39737830998831,2025-08-05,281237.0625,78.85267166734113,2024-08-05,196894.6875,155.46651684037946,2021-08-05,253306.6875,98.57351772443828,KRW,352.1348580834456,320.3361640917137,293.1923670694232,293.443168885653,203.26619126007063,145.07738527046968,221.41030857914302,9.926663785181544,20.10369219471042,20.001041230802397,73.23828222515554,142.7220875444894,59.041762934707776
068270.KS,Celltrion,US,KSC,43801494159360.0,2026-08-05,190300.0,2026-07-03,183600.0,3.6492374727668864,2026-05-04,188380.953125,1.0187053644041375,2026-02-05,207142.859375,-8.131035472725912,2025-08-05,168627.765625,12.85211500886243,2024-08-05,157882.28125,20.53284161676629,2021-08-05,217539.828125,-12.521765949611671,KRW,133.22318785940297,119.05611280817538,127.99966988994856,141.8679797443665,121.8769793518577,116.3319784556752,190.14721225395988,11.899494042824777,4.080883938173807,-6.093546902226055,9.30955834964442,14.519833349317324,-29.936817752831114
086790.KS,HANAFINANCIALGR,US,KSC,35493081251840.0,2026-08-05,128600.0,2026-07-03,125600.0,2.388535031847128,2026-05-04,125474.5625,2.490893323497345,2026-02-05,111859.6953125,14.965448136375636,2025-08-05,81175.546875,58.42209255211748,2024-08-05,51645.8984375,149.0033166053391,2021-08-05,31462.162109375,308.7449538685078,KRW,90.0289120269008,81.44579394720495,85.25650981778745,76.6104563617896,58.670233894704324,38.05410902849644,27.500446553365236,10.538442396742575,5.597698309856991,17.515175215434198,53.449042300523296,136.581316250194,227.3725459410183
006400.KS,"SAMSUNG SDI CO.,LTD.",US,KSC,33956302946304.0,2026-08-05,429000.0,2026-07-03,467500.0,-8.235294117647063,2026-05-04,705000.0,-39.14893617021277,2026-02-05,385500.0,11.284046692607008,2025-08-05,213500.0,100.93676814988292,2024-08-05,302797.375,41.67890325997708,2021-08-05,763887.0,-43.83986113129298,KRW,300.32972985645756,303.152139094891,479.02808524668217,264.02119945851155,154.30872249999084,223.10937887423643,667.6983464544173,-0.9310207234097811,-37.30435874092881,13.752126902086715,94.62913372021168,34.610983801693585,-55.02014772819861
035420.KS,NAVER,US,KSC,33580658982912.0,2026-08-05,229000.0,2026-07-03,195800.0,16.956077630234923,2026-05-04,209000.0,9.569377990430628,2026-02-05,254328.421875,-9.958942727780808,2025-08-05,229588.3125,-0.2562467111647981,2024-08-05,153723.28125,48.96897733244294,2021-08-05,430642.34375,-46.82362212552397,KRW,160.31586978351697,126.96724884444848,142.00974442064762,174.18442282705018,165.9366707391273,113.26751362424147,376.41585841247434,26.265530081639344,12.890752981460697,-7.961993855962346,-3.3873169387897972,41.5373787716006,-57.409905507263794
9984.T,SOFTBANK GROUP CORP,US,JPX,32375585112064.0,2026-08-05,5958.0,2026-07-03,6169.0,-3.420327443669968,2026-05-01,5424.0,9.845132743362829,2026-02-05,3906.54736328125,52.51318993341632,2025-08-05,2964.8916015625,100.95169741990333,2024-08-05,1587.5902099609375,275.28576093616726,2021-08-05,1645.7713623046875,262.01869448357644,JPY,37.78251119423658,38.2102065384388,34.5526130720973,24.895627223865176,20.197772676200202,10.90497737567705,15.025895828459284,-1.119322251692012,9.347768041160265,51.76364449262767,87.06276082984704,246.4703308647699,151.44930875053655
066570.KS,LGELECTRONICS,US,KSC,31519661883392.0,2026-08-05,179500.0,2026-07-03,191000.0,-6.020942408376961,2026-05-04,143200.0,25.34916201117319,2026-02-05,99538.796875,80.33169541461768,2025-08-05,75524.3828125,137.671588056051,2024-08-05,87903.7890625,104.20052641004438,2021-08-05,150780.28125,19.047396988457344,KRW,125.66243941546418,123.85467073181644,97.30045646429062,68.17212073565406,54.585812784061545,64.7699134724212,131.7940277404341,1.4595886234780142,29.14886936998331,84.3311284135285,130.21080571352454,94.01359779331928,-4.652402259870203
010120.KS,LS ELECTRIC,US,KSC,30426603192320.0,2026-08-05,212000.0,2026-07-03,229500.0,-7.625272331154687,2026-05-04,294000.0,-27.89115646258503,2026-02-05,123306.765625,71.92892776438033,2025-08-05,65537.84375,223.47722761324445,2024-08-05,30784.138671875,588.6663364523089,2021-08-05,12082.203125,1654.6468786089044,KRW,148.41469167731702,148.82014101021923,199.7649036347866,84.45032467357214,47.367966953004725,22.68259445201727,10.560812067869847,-0.2724425135938846,-25.705322117717365,75.74200247422125,213.3229083371131,554.3109166425968,1305.3340853290347
